URL,TimeSpent_ms,Timestamp,PageSize_bytes,Energy_kWh,Carbon_kg
chrome://extensions/,18,2025-11-04T13:04:09.830Z,0,0,0
chrome://newtab/,0,2025-11-04T13:04:10.088Z,486102,0.000070,0.000033
https://www.google.com/search?q=wikipedia&oq=wikipwe&gs_lcrp=EgZjaHJvbWUqDAgBEAAYChixAxiABDIGCAAQRRg5MgwIARAAGAoYsQMYgAQyDAgCEAAYChixAxiABDIJCAMQABgKGIAEMgkIBBAAGAoYgAQyCQgFEAAYChiABDIJCAYQABgKGIAEMgYIBxAFGEDSAQg0MTgzajBqN6gCCLACAfEFDqB55lPxqR8&sourceid=chrome&ie=UTF-8,0,2025-11-04T13:04:19.131Z,142223,0.000020,0.000010
https://en.wikipedia.org/wiki/Wikipedia:About,5,2025-11-04T13:04:22.206Z,0,0,0
https://en.wikipedia.org/wiki/Wikipedia:About,7,2025-11-04T13:05:27.005Z,0,0,0
chrome://newtab/,0,2025-11-04T13:05:27.312Z,0,0,0
https://www.bathandbodyworks.com/cart,31,2025-11-04T13:05:39.205Z,0,0,0
https://www.bathandbodyworks.com/t/promotion,0,2025-11-04T13:05:49.661Z,0,0,0
https://www.bathandbodyworks.com/c/body-care/body-sprays-mists,3,2025-11-04T13:06:03.556Z,0,0,0
https://www.bathandbodyworks.com/c/body-care/body-sprays-mists?offset=48,2,2025-11-04T13:06:45.186Z,0,0,0
https://www.bathandbodyworks.com/c/body-care/body-sprays-mists?offset=48,6,2025-11-04T13:06:57.903Z,0,0,0
chrome://extensions/,127,2025-11-04T13:07:03.108Z,0,0,0
https://www.bathandbodyworks.com/c/body-care/body-sprays-mists?offset=48,2,2025-11-04T13:07:13.528Z,0,0,0
https://chatgpt.com/c/6909c656-6f8c-8321-80e0-a8f1f2177dd3,6,2025-11-04T13:09:33.678Z,0,0,0
https://www.youtube.com/,53,2025-11-04T13:09:38.132Z,0,0,0
https://www.youtube.com/results?search_query=browser+extension+carbon,1,2025-11-04T13:09:39.140Z,2920736,0.000418,0.000198
https://www.youtube.com/,4,2025-11-04T13:09:42.119Z,0,0,0
https://www.youtube.com/watch?v=ncn84cMWgRA,64,2025-11-04T13:09:47.362Z,0,0,0
https://www.youtube.com/watch?v=NkibNXbcSbo,3,2025-11-04T13:12:50.269Z,0,0,0
https://www.youtube.com/watch?v=NkibNXbcSbo,1,2025-11-04T13:15:13.708Z,0,0,0
chrome://newtab/,4,2025-11-04T13:15:22.206Z,0,0,0
chrome://newtab/,1,2025-11-04T13:18:19.439Z,0,0,0
https://www.youtube.com/results?search_query=browser+extension+carbon,6,2025-11-04T13:18:22.254Z,0,0,0
https://www.youtube.com/watch?v=cCArfCZrd68,7,2025-11-04T13:18:30.235Z,0,0,0
https://www.youtube.com/watch?v=cCArfCZrd68,32,2025-11-04T13:18:35.543Z,0,0,0
https://chatgpt.com/c/6909c656-6f8c-8321-80e0-a8f1f2177dd3,39,2025-11-04T13:21:51.618Z,0,0,0
chrome://extensions/,7,2025-11-04T13:26:10.605Z,0,0,0
chrome://extensions/,1,2025-11-04T13:26:10.741Z,0,0,0
chrome://extensions/?errors=ljogdcghldnnfkjhjmpfpnfeodbclcck,0,2025-11-04T13:26:13.138Z,0,0,0
